,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label, Label
0,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,106311960,63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020018820083837,1687491.428571429,8559184.144011173,57996758.0,2.0,106301622.0,1714542.2903225806,8626340.757770214,57996758.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5925956026020026,0.009406279406380995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,63,0,1,0,-1,-1,0,0,3316295.5,2386174.966627657,5003576.0,1629015.0,47337994.0,15073768.6069341,57996758.0,36679230.0,No Label,ARP_POISONING
1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:46 PM,68003319,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823098766694019,1152598.6271186438,7537438.840919095,57996672.0,2.0,68003282.0,1172470.3793103443,7601710.087558217,57996672.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676047120582452,0.014705164611156696,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003391.0,0.0,5003391.0,5003391.0,57996672.0,0.0,57996672.0,57996672.0,No Label,ARP_POISONING
2,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:52 PM,68003526,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823071909535986,1152602.1355932204,7537431.210968259,57996618.0,2.0,68003413.0,1172472.637931035,7601702.58553482,57996618.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676020711043719,0.014705119849226643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003475.0,0.0,5003475.0,5003475.0,57996618.0,0.0,57996618.0,57996618.0,No Label,ARP_POISONING
3,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:58 PM,119302101,61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196890874537071,1955772.1475409837,9078176.470088052,57996680.0,2.0,119302075.0,1988367.9166666663,9151186.446446652,57996680.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5113070053980022,0.008382082055704955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,61,0,1,0,-1,-1,0,0,5005291.5,2759.837766971095,5007243.0,5003340.0,36430506.0,24358685.818232395,57996680.0,10010262.0,No Label,ARP_POISONING
4,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:54:04 PM,115038262,81,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128063183012969,1420225.4567901238,2795546.403265138,10010354.0,5.0,115038218.0,1437977.7249999996,2808585.9512797543,10010354.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7041135583220128,0.00869275997928411,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,81,0,1,0,-1,-1,0,0,2291896.5,1431116.43133404,5007335.0,1612851.0,8227867.181818183,1074897.0567803057,10010354.0,5377188.0,No Label,ARP_POISONING
5,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:56:07 PM,70571426,68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777328291481596,1037815.0882352941,3491669.4895314733,25522502.0,6.0,68958914.0,1029237.5223880592,3517300.1745385295,25522502.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.9635627881460124,0.01417004100214724,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,68,0,1,0,-1,-1,0,0,4948824.666666667,5779709.207975288,11622658.0,1611819.0,12679408.75,8562062.167155854,25522502.0,8398263.0,No Label,ARP_POISONING
6,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:58:16 PM,68011400,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822050420958841,1152735.5932203392,7536793.2862623725,57992777.0,7.0,68011372.0,1172609.8620689658,7601058.3661672175,57992777.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675016247276193,0.014703417368264731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5007312.0,0.0,5007312.0,5007312.0,57992777.0,0.0,57992777.0,57992777.0,No Label,ARP_POISONING
7,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:00:22 PM,68011404,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822049902101713,1152735.6610169502,7536195.231850633,57988822.0,4.0,68011367.0,1172609.7758620686,7600454.988850911,57988822.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675015737066684,0.014703416503502853,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5011255.0,0.0,5011255.0,5011255.0,57988822.0,0.0,57988822.0,57988822.0,No Label,ARP_POISONING
8,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:02:28 PM,119952319,64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418819789553214,1874254.984375,7653247.578926146,57988640.0,8.0,119952296.0,1904004.6984126985,7710989.228175634,57988640.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5335453331252396,0.008336645830081868,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,64,0,1,0,-1,-1,0,0,5011422.5,70.0035713374682,5011472.0,5011373.0,18321579.0,19447498.904047914,57988640.0,10010277.0,No Label,ARP_POISONING
9,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:04:29 PM,118512985,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7087830924181009,1427867.289156626,2725199.595278037,8399690.0,8.0,114076243.0,1391173.6951219507,2721262.23196307,8399690.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7003451984607425,0.008437893957358344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83,0,1,0,-1,-1,0,0,2683497.909090909,2635426.693634769,10010192.0,1610628.0,8090409.818181817,751268.2008766001,8399690.0,6023488.0,No Label,ARP_POISONING
